DateTime,Amount,Claimed,Policy Type
12/31/2002 1:00,1000000,Yes,Health
12/30/2002 1:00,1000000,Yes,Life
12/29/2002 1:00,1000000,Yes,Travel
12/28/2002 1:00,0,No,Health
12/27/2002 1:00,0,No,Life
12/26/2002 1:00,0,No,Travel
12/25/2002 1:00,0,No,Health
12/24/2002 1:00,0,No,Life
12/23/2002 1:00,0,No,Travel
12/22/2002 1:00,0,No,Health
12/21/2002 1:00,0,No,Life
12/20/2002 1:00,0,No,Travel
12/19/2002 1:00,0,No,Health
12/18/2002 1:00,0,No,Life
12/17/2002 1:00,0,No,Travel
12/16/2002 1:00,0,No,Health
12/15/2002 1:00,0,No,Life
12/14/2002 1:00,0,No,Travel
12/13/2002 1:00,0,No,Health
12/12/2002 1:00,0,No,Life
12/11/2002 1:00,0,No,Travel
12/10/2002 1:00,0,No,Health
12/9/2002 1:00,0,No,Life
12/8/2002 1:00,0,No,Travel
12/7/2002 1:00,0,No,Health
12/6/2002 1:00,0,No,Life
12/5/2002 1:00,0,No,Travel
12/4/2002 1:00,0,No,Health
12/3/2002 1:00,0,No,Life
12/2/2002 1:00,0,No,Travel
12/1/2002 1:00,0,No,Health
11/30/2002 1:00,900000,Yes,Life
11/29/2002 1:00,900000,Yes,Travel
11/28/2002 1:00,900000,Yes,Health
11/27/2002 1:00,900000,Yes,Life
11/26/2002 1:00,0,No,Travel
11/25/2002 1:00,0,No,Health
11/24/2002 1:00,0,No,Life
11/23/2002 1:00,0,No,Travel
11/22/2002 1:00,0,No,Health
11/21/2002 1:00,0,No,Life
11/20/2002 1:00,0,No,Travel
11/19/2002 1:00,0,No,Health
11/18/2002 1:00,0,No,Life
11/17/2002 1:00,0,No,Travel
11/16/2002 1:00,0,No,Health
11/15/2002 1:00,0,No,Life
11/14/2002 1:00,0,No,Travel
11/13/2002 1:00,0,No,Health
11/12/2002 1:00,0,No,Life
11/11/2002 1:00,0,No,Travel
11/10/2002 1:00,0,No,Health
11/9/2002 1:00,0,No,Life
11/8/2002 1:00,0,No,Travel
11/7/2002 1:00,0,No,Health
11/6/2002 1:00,0,No,Life
11/5/2002 1:00,0,No,Travel
11/4/2002 1:00,0,No,Health
11/3/2002 1:00,0,No,Life
11/2/2002 1:00,0,No,Travel
11/1/2002 1:00,0,No,Health
10/31/2002 1:00,1000000,Yes,Life
10/30/2002 1:00,1000000,Yes,Travel
10/29/2002 1:00,1000000,Yes,Health
10/28/2002 1:00,0,No,Life
10/27/2002 1:00,0,No,Travel
10/26/2002 1:00,0,No,Health
10/25/2002 1:00,0,No,Life
10/24/2002 1:00,0,No,Travel
10/23/2002 1:00,0,No,Health
10/22/2002 1:00,0,No,Life
10/21/2002 1:00,0,No,Travel
10/20/2002 1:00,0,No,Health
10/19/2002 1:00,0,No,Life
10/18/2002 1:00,0,No,Travel
10/17/2002 1:00,0,No,Health
10/16/2002 1:00,0,No,Life
10/15/2002 1:00,0,No,Travel
10/14/2002 1:00,0,No,Health
10/13/2002 1:00,0,No,Life
10/12/2002 1:00,0,No,Travel
10/11/2002 1:00,0,No,Health
10/10/2002 1:00,0,No,Life
10/9/2002 1:00,0,No,Travel
10/8/2002 1:00,0,No,Health
10/7/2002 1:00,0,No,Life
10/6/2002 1:00,0,No,Travel
